Phonological Forms,Syllabic Structures,Number of Syllables,Written Forms,Syntactic Categories,Frequency,Stress Patterns
ʃe.cæm.por.con,CV.CVC.CVC.CVC,4,شكم‌پركن,A0,1,WWWS
ʃe.cæm.pær.vær,CV.CVC.CVC.CVC,4,شكم‌پرور,A0,1,WWWS
ʃe.cæm.ʧæ.rɒn,CV.CVC.CV.CVC,4,شكم‌چران,A0,1,WWWS
ʃe.cæm.ʧæ.rɒ.ni,CV.CVC.CV.CV.CV,5,شكم‌چراني,N1,1,WWWWS
ʃe.cæm.dærd,CV.CVC.CVCC,3,شكم‌درد,N1,1,WWS
ʃe.cæm.ræ.veʃ,CV.CVC.CV.CVC,4,شكم‌روش,N1,1,WWWS
ʃe.cæm.ɟon.de,CV.CVC.CVC.CV,4,شكم‌گنده,A0,1,WWWS
ʃe.cæm.bɒ.re,CV.CVC.CV.CV,4,شكمباره,A0,1,WWWS
ʃe.cæm.be,CV.CVC.CV,3,شكمبه,N1,1,WWS
ʃe.cæm.pɒ,CV.CVC.CV,3,شكمپا,A0,1,WWS
ʃe.cæm.ʧe,CV.CVC.CV,3,شكمچه,N1,1,WWS
ʃe.cæ.mu,CV.CV.CV,3,شكمو,N1,1,WWS
ʃe.cæ.mi,CV.CV.CV,3,شكمي,A0,15,WWS
ʃe.cæn,CV.CVC,2,شكن,N1,30,WS
ʃe.cæn,CV.CVC,2,شكن,V1,5000,WS
ʃe.cæn.be,CV.CVC.CV,3,شكنبه,N1,2,WWS
ʃe.cænʤ,CV.CVCC,2,شكنج,N1,4,WS
ʃe.cæn.ʤe,CV.CVC.CV,3,شكنجه,N1,330,WWS
ʃe.cæn.ʤe.ʃo.de,CV.CVC.CV.CV.CV,5,شكنجه‌شده,A0,15,WWWWS
ʃe.cæn.ʤe.ɟær,CV.CVC.CV.CVC,4,شكنجه‌گر,N1,1,WWWS
ʃe.cæ.næn.de.ɟi,CV.CV.CVC.CV.CV,5,شكنندگي,N1,15,WWWWS
ʃe.cæ.næn.de,CV.CV.CVC.CV,4,شكننده,A0,60,WWWS
ʃec.vɒ.ʔij.je,CVC.CV.CVC.CV,4,شكوائيه,N1,60,WWWS
ʃec.vɒ.jij.je,CVC.CV.CVC.CV,4,شكواييه,N1,5,WWWS
ʃæ.cur,CV.CVC,2,شكور,A0,5,WS
ʃe.cuf,CV.CVC,2,شكوف,V1,5000,WS
ʃo.cu.fɒ,CV.CV.CV,3,شكوفا,A0,60,WWS
ʃo.cu.fɒ.ʔi,CV.CV.CV.CV,4,شكوفائي,N1,90,WWWS
ʃo.cu.fɒ.sɒ.zi,CV.CV.CV.CV.CV,5,شكوفاسازي,N1,2,WWWWS
ʃu.cu.fɒn,CV.CV.CVC,3,شكوفان,A0,1,WWS
ʃe.cu.fɒ.ji,CV.CV.CV.CV,4,شكوفايي,N1,60,WWWS
ʃo.cu.fæn.de,CV.CV.CVC.CV,4,شكوفنده,A0,1,WWWS
ʃo.cu.fe,CV.CV.CV,3,شكوفه,N1,15,WWS
ʃe.cu.fid,CV.CV.CVC,3,شكوفيد,V2,5000,WWS
ʃu.cuc,CV.CVC,2,شكوك,N1,1,WS
ʃec.ve,CVC.CV,2,شكوه,N1,15,WS
ʃo.cuh,CV.CVC,2,شكوه,N1,135,WS
ʃo.cuh.mænd,CV.CVC.CVCC,3,شكوهمند,A0,45,WWS
ʃo.cuh.mæn.di,CV.CVC.CVC.CV,4,شكوهمندي,N1,1,WWWS
ʃæc.ci,CVC.CV,2,شكي,A0,7,WS
ʃæc.cij.jɒt,CVC.CVC.CVC,3,شكيات,N1,1,WWS
ʃæ.cib,CV.CVC,2,شكيب,N1,11,WS
ʃæ.ci.bɒ,CV.CV.CV,3,شكيبا,A0,23,WWS
ʃæ.ci.bɒ.ʔi,CV.CV.CV.CV,4,شكيبائي,N1,120,WWWS
ʃæ.cil,CV.CVC,2,شكيل,A0,6,WS
ʃe.ɟerd,CV.CVCC,2,شگرد,N1,15,WS
ʃe.ɟerf,CV.CVCC,2,شگرف,N1,30,WS
ʃe.ɟer.fi,CV.CVC.CV,3,شگرفي,N1,2,WWS
ʃe.ɟeft,CV.CVCC,2,شگفت,A0,45,WS
ʃe.ɟef.tɒ.fæ.rin,CV.CVC.CV.CV.CVC,5,شگفت‌‌آفرين,A0,1,WWWWS
ʃe.ɟeft.zæ.de,CV.CVCC.CV.CV,4,شگفت‌‌زده,A0,31,WWWS
ʃe.ɟef.tɒ.vær,CV.CVC.CV.CVC,4,شگفت‌آور,A0,30,WWWS
ʃe.ɟef.tæn.ɟiz,CV.CVC.CVC.CVC,4,شگفت‌انگيز,A0,90,WWWS
ʃe.ɟeft.zæ.de.ɟi,CV.CVCC.CV.CV.CV,5,شگفت‌زدگي,N1,1,WWWWS
ʃe.ɟef.ti,CV.CVC.CV,3,شگفتي,N1,90,WWS
ʃe.ɟef.ti.ʔɒ.fæ.rin,CV.CVC.CV.CV.CV.CVC,6,شگفتي‌‌آفرين,A0,2,WWWWWS
ʃe.ɟef.ti.ʔɒ.vær,CV.CVC.CV.CV.CVC,5,شگفتي‌‌آور,A0,1,WWWWS
ʃe.ɟef.ti.bæ.ræn.ɟiz,CV.CVC.CV.CV.CVC.CVC,6,شگفتي‌‌برانگيز,A0,1,WWWWWS
ʃe.ɟef.ti.sɒz,CV.CVC.CV.CVC,4,شگفتي‌‌ساز,A0,7,WWWS
ʃu.ɟun,CV.CVC,2,شگون,N1,4,WS
ʃæl,CVC,1,شل,V1,5000,S
ʃel,CVC,1,شل,N1,30,S
ʃol.co.næn.de,CVC.CV.CVC.CV,4,شل‌‌كننده,A0,1,WWWS
ʃo.lo.vel,CV.CV.CVC,3,شل‌‌و‌‌ول,A0,1,WWS
ʃol.bɒft,CVC.CVCC,2,شل‌بافت,A0,1,WS
ʃol.ʃo.læ.ci,CVC.CV.CV.CV,4,شل‌شلكي,Ad,1,WWWS
ʃol.con.seft.con,CVC.CVC.CVCC.CVC,4,شل‌كن‌سفت‌كن,N1,1,WWWS
ʃo.lɒb,CV.CVC,2,شلاب,N1,1,WS
ʃæl.lɒG,CVC.CVC,2,شلاق,N1,30,WS
ʃæl.lɒG.χor.de,CVC.CVC.CVC.CV,4,شلاق‌‌خورده,A0,1,WWWS
ʃæl.lɒG.zæ.ni,CVC.CVC.CV.CV,4,شلاق‌‌زني,N1,1,WWWS
ʃæl.lɒG.ceʃ,CVC.CVC.CVC,3,شلاق‌كش,Ad,1,WWS
ʃæl.lɒ.Gi,CVC.CV.CV,3,شلاقي,A0,15,WWS
ʃo.lɒl,CV.CVC,2,شلال,N1,1,WS
ʃæ.lɒn.ʃæ.lɒn,CV.CVC.CV.CVC,4,شلان‌شلان,Ad,1,WWWS
ʃe.lep,CV.CVC,2,شلپ,Ad,2,WS
ʃel.tɒG,CVC.CVC,2,شلتاق,N1,15,WS
ʃæl.tuc,CVC.CVC,2,شلتوك,N1,9,WS
ʃæl.ʤæm,CVC.CVC,2,شلجم,N1,15,WS
ʃæl.ʤæ.mi,CVC.CV.CV,3,شلجمي,N1,15,WWS
ʃe.læχ.te.ɟi,CV.CVC.CV.CV,4,شلختگي,N1,1,WWWS
ʃæ.læχ.te,CV.CVC.CV,3,شلخته,A0,1,WWS
ʃæl.Gæm,CVC.CVC,2,شلغم,N1,5,WS
ʃælf,CVCC,1,شلف,A0,4,S
ʃæ.læm,CV.CVC,2,شلم,N1,1,WS
ʃæ.læm.ʃur.bɒ,CV.CVC.CVC.CV,4,شلم‌‌شوربا,A0,1,WWWS
ʃe.lænɟ,CV.CVCC,2,شلنگ,N1,3,WS
ʃe.lænɟ.tæχ.te,CV.CVCC.CVC.CV,4,شلنگ‌تخته,N1,1,WWWS
ʃo.le,CV.CV,2,شله,N1,2,WS
ʃo.le.ber.jɒ.ni,CV.CV.CVC.CV.CV,5,شله‌برياني,N1,1,WWWWS
ʃo.le.zærd,CV.CV.CVCC,3,شله‌زرد,N1,1,WWS
ʃo.le.Gæ.læm.cɒr,CV.CV.CV.CVC.CVC,5,شله‌قلمكار,N1,1,WWWWS
ʃæl.vɒr,CVC.CVC,2,شلوار,N1,30,WS
ʃæl.vɒr.ʤu.rɒ.bi,CVC.CVC.CV.CV.CV,5,شلوار‌جورابي,N1,1,WWWWS
ʃæl.vɒ.ri,CVC.CV.CV,3,شلواري,A0,15,WWS
ʃo.luG,CV.CVC,2,شلوغ,A0,30,WS
ʃu.luG.bɒ.zɒr,CV.CVC.CV.CVC,4,شلوغ‌‌بازار,N1,1,WWWS
ʃu.luG.pu.luG,CV.CVC.CV.CVC,4,شلوغ‌پلوغ,A0,1,WWWS
ʃu.luG.cɒ.ri,CV.CVC.CV.CV,4,شلوغ‌كاري,N1,1,WWWS
ʃu.luG.con,CV.CVC.CVC,3,شلوغ‌كن,A0,1,WWS
ʃo.lu.Gi,CV.CV.CV,3,شلوغي,N1,15,WWS
ʃæl.jɒG,CVC.CVC,2,شلياق,N1,2,WS
ʃæl.jɒ.Gi,CVC.CV.CV,3,شلياقي,A0,1,WWS
ʃæ.li.te,CV.CV.CV,3,شليته,N1,1,WWS
ʃæ.lid,CV.CVC,2,شليد,V2,5000,WS
ʃel.lic,CVC.CVC,2,شليك,N1,135,WS
ʃel.lic.ʃo.de,CVC.CVC.CV.CV,4,شليك‌‌شده,A0,4,WWWS
ʃel.lic.co.næn.de,CVC.CVC.CV.CVC.CV,5,شليك‌‌كننده,A0,1,WWWWS
ʃæ.lil,CV.CVC,2,شليل,N1,2,WS
ʃe.linɟ,CV.CVCC,2,شلينگ,N1,3,WS
ʃæm,CVC,1,شم,N1,4,S
ʃe.mɒ,CV.CV,2,شما,N1,1,WS
ʃo.mɒ,CV.CV,2,شما,N5,3345,WS
ʃæ.mɒ.ʔel,CV.CV.CVC,3,شمائل,N1,1,WWS
ʃe.mɒ.tæt,CV.CV.CVC,3,شماتت,N1,13,WWS
ʃe.mɒ.tæ.tɒ.lud,CV.CV.CV.CV.CVC,5,شماتت‌آلود,A0,1,WWWWS
ʃe.mɒ.tæt.ɟær,CV.CV.CVC.CVC,4,شماتتگر,A0,1,WWWS
ʃo.mɒr,CV.CVC,2,شمار,N1,1695,WS
ʃo.mɒr,CV.CVC,2,شمار,V1,5000,WS
ʃo.mɒrd,CV.CVCC,2,شمارد,V2,5000,WS
ʃo.mɒ.reʃ,CV.CV.CVC,3,شمارش,N1,210,WWS
ʃo.mɒ.reʃ.ʃo.de,CV.CV.CVC.CV.CV,5,شمارش‌‌شده,A0,3,WWWWS
ʃo.mɒ.reʃ.ɟær,CV.CV.CVC.CVC,4,شمارشگر,A0,3,WWWS
ʃo.mɒ.re.ʃi,CV.CV.CV.CV,4,شمارشي,A0,1,WWWS
ʃo.mɒr.ɟɒn,CV.CVC.CVC,3,شمارگان,N1,39,WWS
ʃo.mɒr.ɟær,CV.CVC.CVC,3,شمارگر,N1,1,WWS
ʃo.mɒ.ræn.de,CV.CV.CVC.CV,4,شمارنده,A0,1,WWWS
ʃo.mɒ.re,CV.CV.CV,3,شماره,N1,1770,WWS
ʃo.mɒ.re.he.sɒb,CV.CV.CV.CV.CVC,5,شماره‌‌حساب,N1,1,WWWWS
ʃo.mɒ.re.zæ.ni,CV.CV.CV.CV.CV,5,شماره‌‌زني,N1,1,WWWWS
ʃo.mɒ.re.ɟo.zɒ.ri,CV.CV.CV.CV.CV.CV,6,شماره‌‌گذاري,N1,27,WWWWWS
ʃo.mɒ.re.ɟir,CV.CV.CV.CVC,4,شماره‌‌گير,A0,1,WWWS
ʃo.mɒ.re.nɒ.me,CV.CV.CV.CV.CV,5,شماره‌‌نامه,N1,1,WWWWS
ʃo.mɒ.re.næ.ʃo.de,CV.CV.CV.CV.CV.CV,6,شماره‌‌نشده,A0,1,WWWWWS
ʃo.mɒ.re.ʔi,CV.CV.CV.CV,4,شماره‌اي,A0,30,WWWS
ʃo.mɒ.re.te.le.fon,CV.CV.CV.CV.CV.CVC,6,شماره‌تلفن,N1,300,WWWWWS
ʃo.mɒ.re.dɒr,CV.CV.CV.CVC,4,شماره‌دار,A0,15,WWWS
ʃo.mɒ.re.du.zi,CV.CV.CV.CV.CV,5,شماره‌دوزي,N1,1,WWWWS
ʃo.mɒ.re.zæn,CV.CV.CV.CVC,4,شماره‌زن,N1,1,WWWS
ʃo.mɒ.re.ɟi.ri,CV.CV.CV.CV.CV,5,شماره‌گيري,N1,1,WWWWS
ʃo.mɒ.ri,CV.CV.CV,3,شماري,A0,195,WWS
ʃæm.mɒs,CVC.CVC,2,شماس,N1,1,WS
ʃæm.mɒ.te,CVC.CV.CV,3,شماطه,N1,15,WWS
ʃo.mɒl,CV.CVC,2,شمال,N1,2385,WS
ʃo.mɒ.le.ʃæh.ri,CV.CV.CV.CVC.CV,5,شمال‌‌شهري,A0,1,WWWWS
ʃo.mɒ.le.ʃær.Gi,CV.CV.CV.CVC.CV,5,شمالشرقي,N1,1,WWWWS
ʃo.mɒ.le.ɟɒn,CV.CV.CV.CVC,4,شمالگان,N1,1,WWWS
ʃo.mɒ.li,CV.CV.CV,3,شمالي,A0,2970,WWS
ʃæ.mɒ.me,CV.CV.CV,3,شمامه,N1,1,WWS
ʃæ.mɒ.jel,CV.CV.CVC,3,شمايل,N1,22,WWS
ʃæ.mɒ.jel.sɒz,CV.CV.CVC.CVC,4,شمايل‌‌ساز,A0,4,WWWS
ʃæ.mɒ.jel.ʃe.nɒ.si,CV.CV.CVC.CV.CV.CV,6,شمايل‌‌شناسي,N1,3,WWWWWS
ʃæ.mɒ.jel.pæ.ræs.ti,CV.CV.CVC.CV.CVC.CV,6,شمايل‌پرستي,N1,1,WWWWWS
ʃæ.mɒ.jel.sɒ.zi,CV.CV.CVC.CV.CV,5,شمايل‌سازي,N1,1,WWWWS
ʃæm.pɒn.ze,CVC.CVC.CV,3,شمپانزه,N1,3,WWS
ʃæ.mæd,CV.CVC,2,شمد,N1,1,WS
ʃe.mor,CV.CVC,2,شمر,V1,5000,WS
ʃemr.χɒn,CVCC.CVC,2,شمرخوان,N1,1,WS
ʃe.mord,CV.CVCC,2,شمرد,V2,5000,WS
ʃe.mor.de,CV.CVC.CV,3,شمرده,A0,90,WWS
ʃe.mor.de.ʃo.de,CV.CVC.CV.CV.CV,5,شمرده‌‌شده,A0,1,WWWWS
ʃæms,CVCC,1,شمس,N1,255,S
ʃæm.se,CVC.CV,2,شمسه,N1,1,WS
ʃæm.se.du.zi,CVC.CV.CV.CV,4,شمسه‌دوزي,N1,1,WWWS
ʃæm.si,CVC.CV,2,شمسي,A0,810,WS
ʃemʃ,CVCC,1,شمش,N1,15,S
ʃem.ʃɒd,CVC.CVC,2,شمشاد,N1,9,WS
ʃem.ʃæc,CVC.CVC,2,شمشك,N1,15,WS
ʃem.ʃe,CVC.CV,2,شمشه,N1,1,WS
ʃæm.ʃir,CVC.CVC,2,شمشير,N1,150,WS
ʃæm.ʃir.bɒz,CVC.CVC.CVC,3,شمشير‌‌باز,A0,12,WWS
ʃæm.ʃir.be.dæst,CVC.CVC.CV.CVCC,4,شمشير‌‌بدست,A0,1,WWWS
ʃæm.ʃir.bɒ.zi,CVC.CVC.CV.CV,4,شمشيربازي,N1,30,WWWS
ʃæm.ʃir.zæn,CVC.CVC.CVC,3,شمشيرزن,A0,15,WWS
ʃæm.ʃir.zæ.ni,CVC.CVC.CV.CV,4,شمشيرزني,N1,15,WWWS
ʃæm.ʃir.sɒz,CVC.CVC.CVC,3,شمشيرساز,N1,1,WWS
ʃæm.ʃir.mɒ.hi,CVC.CVC.CV.CV,4,شمشيرماهي,N1,15,WWWS
ʃæm.ʃi.ri,CVC.CV.CV,3,شمشيري,A0,15,WWS
ʃæm.ʃi.ri.jɒn,CVC.CV.CV.CVC,4,شمشيريان,N1,1,WWWS
ʃæmʔ,CVCC,1,شمع,N1,60,S
ʃæmʔ.bæn.di,CVCC.CVC.CV,3,شمع‌‌بندي,N1,2,WWS
ʃæmʔ.cu.bi,CVCC.CV.CV,3,شمع‌‌كوبي,N1,1,WWS
ʃæmʔ.sɒ.zi,CVCC.CV.CV,3,شمع‌سازي,N1,15,WWS
ʃæmʔ.dɒn,CVCC.CVC,2,شمعدان,N1,2,WS
ʃæmʔ.dɒ.ni,CVCC.CV.CV,3,شمعداني,N1,2,WWS
ʃæmʔ.dɒ.ni.jɒn,CVCC.CV.CV.CVC,4,شمعدانيان,N1,1,WWWS
ʃæm.ʔæc,CVC.CVC,2,شمعك,N1,1,WS
ʃæmʔ.cub,CVCC.CVC,2,شمعكوب,N1,1,WS
ʃæm.ʔi,CVC.CV,2,شمعي,A0,1,WS
ʃæ.mæn,CV.CVC,2,شمن,N1,1,WS
ʃæ.mæn.pæ.ræs.ti,CV.CVC.CV.CVC.CV,5,شمن‌پرستي,N1,1,WWWWS
ʃem.me,CVC.CV,2,شمه,N1,45,WS
ʃo.mul,CV.CVC,2,شمول,N1,60,WS
ʃo.mu.lij.jæt,CV.CV.CVC.CVC,4,شموليت,N1,4,WWWS
ʃo.miz,CV.CVC,2,شميز,N1,1,WS
ʃæ.mim,CV.CVC,2,شميم,N1,20,WS
ʃo.mi.ne,CV.CV.CV,3,شمينه,N1,1,WWS
ʃen,CVC,1,شن,N1,180,S
ʃen.bɒ.zi,CVC.CV.CV,3,شن‌‌بازي,N1,1,WWS
ʃen.ceʃ,CVC.CVC,2,شن‌كش,N1,15,WS
ʃe.nɒ,CV.CV,2,شنا,N1,129,WS
ʃe.nɒχt,CV.CVCC,2,شناخت,N1,885,WS
ʃe.nɒχt,CV.CVCC,2,شناخت,V2,5000,WS
ʃe.nɒχt.ʃe.nɒ.si,CV.CVCC.CV.CV.CV,5,شناخت‌‌شناسي,N1,2,WWWWS
ʃe.nɒχ.te,CV.CVC.CV,3,شناخته,A0,1320,WWS
ʃe.nɒχ.te.næ.ʃo.de,CV.CVC.CV.CV.CV.CV,6,شناخته‌‌نشده,A0,2,WWWWWS
ʃe.nɒχ.te.ʃo.de,CV.CVC.CV.CV.CV,5,شناخته‌شده,A0,15,WWWWS
ʃe.nɒχ.ti,CV.CVC.CV,3,شناختي,A0,75,WWS
ʃe.nɒ.zi,CV.CV.CV,3,شنازي,A0,1,WWS
ʃe.nɒs,CV.CVC,2,شناس,V1,5000,WS
ʃe.nɒ.sɒ,CV.CV.CV,3,شناسا,A0,15,WWS
ʃe.nɒ.sɒ.ʔi,CV.CV.CV.CV,4,شناسائي,N1,1110,WWWS
ʃe.nɒ.sɒ.ɟær,CV.CV.CV.CVC,4,شناساگر,N1,1,WWWS
ʃe.nɒ.sɒn,CV.CV.CVC,3,شناسان,V1,5000,WWS
ʃe.nɒ.sɒnd,CV.CV.CVCC,3,شناساند,V2,5000,WWS
ʃe.nɒ.sɒn.de,CV.CV.CVC.CV,4,شناسانده,A0,15,WWWS
ʃe.nɒ.sɒ.nid,CV.CV.CV.CVC,4,شناسانيد,V2,5000,WWWS
ʃe.nɒ.sɒ.ji,CV.CV.CV.CV,4,شناسايي,N1,195,WWWS
ʃe.nɒ.sɒ.ji.ʃo.de,CV.CV.CV.CV.CV.CV,6,شناسايي‌‌شده,A0,8,WWWWWS
ʃe.nɒs.nɒ.me,CV.CVC.CV.CV,4,شناسنامه,N1,225,WWWS
ʃe.nɒs.nɒ.me.ʔi,CV.CVC.CV.CV.CV,5,شناسنامه‌‌اي,A0,3,WWWWS
ʃe.nɒs.nɒ.me.dɒr,CV.CVC.CV.CV.CVC,5,شناسنامه‌دار,A0,15,WWWWS
ʃe.nɒ.se,CV.CV.CV,3,شناسه,N1,44,WWS
ʃe.nɒ.co.nɒn,CV.CV.CV.CVC,4,شناكنان,Ad,3,WWWS
ʃe.nɒ.ɟɒh,CV.CV.CVC,3,شناگاه,N1,1,WWS
ʃe.nɒ.ɟær,CV.CV.CVC,3,شناگر,N1,270,WWS
ʃe.nɒ.ɟæ.ri,CV.CV.CV.CV,4,شناگري,N1,15,WWWS
ʃe.nɒ.vær,CV.CV.CVC,3,شناور,N1,15,WWS
ʃe.nɒ.vær.sɒ.zi,CV.CV.CVC.CV.CV,5,شناورسازي,N1,1,WWWWS
ʃe.nɒ.væ.ri,CV.CV.CV.CV,4,شناوري,N1,1,WWWS
ʃe.nɒ.ve,CV.CV.CV,3,شناوه,N1,1,WWS
ʃæm.bæ.li.le,CVC.CV.CV.CV,4,شنبليله,N1,1,WWWS
ʃæm.be,CVC.CV,2,شنبه,N1,71,WS
ʃæm.be.bɒ.zɒr,CVC.CV.CV.CVC,4,شنبه‌‌بازار,N1,1,WWWS
ʃæm.be.ʃæb,CVC.CV.CVC,3,شنبه‌‌شب,N1,29,WWS
ʃænt.ɟo.zɒ.ri,CVCC.CV.CV.CV,4,شنت‌‌گذاري,N1,1,WWWS
ʃæn.ʤærf,CVC.CVCC,2,شنجرف,N1,1,WS
ʃen.der.Gɒz,CVC.CVC.CVC,3,شندرغاز,N1,2,WWS
ʃen.de.re.puʃ,CVC.CV.CV.CVC,4,شندره‌پوش,A0,1,WWWS
ʃen.de.ro.pen.der,CVC.CV.CV.CVC.CVC,5,شندروپندر,N1,1,WWWWS
ʃen.dust,CVC.CVCC,2,شندوست,A0,1,WS
ʃen.ri.zi,CVC.CV.CV,3,شنريزي,N1,15,WWS
ʃen.zɒr,CVC.CVC,2,شنزار,N1,15,WS
ʃænɟ,CVCC,1,شنگ,V1,5000,S
ʃenɟ,CVCC,1,شنگ,N1,6,S
ʃenɟ.rud.χɒ.ne,CVCC.CVC.CV.CV,4,شنگ‌رودخانه,N1,1,WWWS
ʃæn.ɟɒr,CVC.CVC,2,شنگار,N1,1,WS
ʃæn.ɟɒl,CVC.CVC,2,شنگال,N1,1,WS
ʃenɟ.dɒ.rɒn,CVCC.CV.CVC,3,شنگداران,N1,1,WWS
ʃæn.ɟærf,CVC.CVCC,2,شنگرف,N1,1,WS
ʃæn.ɟær.fi,CVC.CVC.CV,3,شنگرفي,A0,1,WWS
ʃæn.ɟul,CVC.CVC,2,شنگول,A0,1,WS
ʃæn.ɟu.lo.mæn.ɟul,CVC.CV.CV.CVC.CVC,5,شنگول‌ومنگول,N1,1,WWWWS
ʃæn.ɟu.li,CVC.CV.CV,3,شنگولي,N1,1,WWS
ʃæn.ɟid,CVC.CVC,2,شنگيد,V2,5000,WS
ʃe.nel,CV.CVC,2,شنل,N1,60,WS
ʃe.næv,CV.CVC,2,شنو,V1,5000,WS
ʃe.no,CV.CV,2,شنو,N1,15,WS
ʃe.no,CV.CV,2,شنو,V1,5000,WS
ʃe.næ.vɒ,CV.CV.CV,3,شنوا,A0,15,WWS
ʃe.næ.vɒ.ʔi,CV.CV.CV.CV,4,شنوائي,N1,45,WWWS
ʃe.næ.vɒ.ji,CV.CV.CV.CV,4,شنوايي,N1,56,WWWS
ʃe.næ.vɒ.ji.ʃe.nɒs,CV.CV.CV.CV.CV.CVC,6,شنوايي‌‌شناس,A0,2,WWWWWS
ʃe.næ.vɒ.ji.ʃe.nɒ.si,CV.CV.CV.CV.CV.CV.CV,7,شنوايي‌‌شناسي,N1,3,WWWWWWS
ʃe.næ.vɒ.ji.sænʤ,CV.CV.CV.CV.CVCC,5,شنوايي‌سنج,N1,1,WWWWS
ʃe.næ.vɒ.ji.sæn.ʤi,CV.CV.CV.CV.CVC.CV,6,شنوايي‌سنجي,N1,1,WWWWWS
ʃe.næ.vɒ.ji.ne.ɟɒr,CV.CV.CV.CV.CV.CVC,6,شنوايي‌نگار,N1,1,WWWWWS
ʃe.næ.vɒ.ji.ne.ɟɒ.re,CV.CV.CV.CV.CV.CV.CV,7,شنوايي‌نگاره,N1,1,WWWWWWS
ʃe.næ.vɒ.ji.ne.ɟɒʃt,CV.CV.CV.CV.CV.CVCC,6,شنوايي‌نگاشت,N1,1,WWWWWS
ʃo.nud,CV.CVC,2,شنود,N1,135,WS
ʃo.nud,CV.CVC,2,شنود,V2,5000,WS
ʃo.nu.de,CV.CV.CV,3,شنوده,A0,1,WWS
ʃo.nu.di,CV.CV.CV,3,شنودي,A0,15,WWS
ʃe.næ.væn.de,CV.CV.CVC.CV,4,شنونده,N1,30,WWWS
ʃe.ni,CV.CV,2,شني,A0,45,WS
ʃe.nit.sel,CV.CVC.CVC,3,شنيتسل,N1,1,WWS
ʃe.nid,CV.CVC,2,شنيد,V2,5000,WS
ʃe.ni.dɒ.ri,CV.CV.CV.CV,4,شنيداري,N1,28,WWWS
ʃæ.ni.dæ.ni,CV.CV.CV.CV,4,شنيدني,A0,15,WWWS
ʃe.ni.de,CV.CV.CV,3,شنيده,N1,15,WWS
ʃe.ni.de.ʃo.de,CV.CV.CV.CV.CV,5,شنيده‌‌شده,A0,2,WWWWS
ʃæ.niʔ,CV.CVC,2,شنيع,A0,7,WS
ʃæh,CVC,1,شه,N1,6,S
ʃæ.hɒb,CV.CVC,2,شهاب,N1,60,WS
ʃæ.hɒb.sænɟ,CV.CVC.CVCC,3,شهاب‌سنگ,N1,15,WWS
ʃæ.hɒ.dæt,CV.CV.CVC,3,شهادت,N1,810,WWS
ʃæ.hɒ.dæt.pæ.zi.ri,CV.CV.CVC.CV.CV.CV,6,شهادت‌‌پذيري,N1,1,WWWWWS
ʃæ.hɒ.dæt.χɒn,CV.CV.CVC.CVC,4,شهادت‌‌خوان,A0,3,WWWS
ʃæ.hɒ.dæt.tæ.læ.bɒ.ne,CV.CV.CVC.CV.CV.CV.CV,7,شهادت‌‌طلبانه,Ad,4,WWWWWWS
ʃæ.hɒ.dæt.ɟu.ji,CV.CV.CVC.CV.CV,5,شهادت‌‌گويي,N1,1,WWWWS
ʃæ.hɒ.dæt.tæ.læb,CV.CV.CVC.CV.CVC,5,شهادت‌طلب,A0,15,WWWWS
ʃæ.hɒ.dæt.tæ.læ.bi,CV.CV.CVC.CV.CV.CV,6,شهادت‌طلبي,N1,15,WWWWWS
ʃæ.hɒ.dæt.ɟɒh,CV.CV.CVC.CVC,4,شهادتگاه,N1,1,WWWS
ʃæ.hɒ.dæt.nɒ.me,CV.CV.CVC.CV.CV,5,شهادتنامه,N1,1,WWWWS
ʃæ.hɒ.dæ.tejn,CV.CV.CV.CVCC,4,شهادتين,N1,6,WWWS
ʃæ.hɒ.mæt,CV.CV.CVC,3,شهامت,N1,30,WWS
ʃæh.bɒz,CVC.CVC,2,شهباز,N1,25,WS
ʃæh.bɒ.nu,CVC.CV.CV,3,شهبانو,N1,5,WWS
ʃæh.pær,CVC.CVC,2,شهپر,N1,1,WS
ʃæh.pæ.ri,CVC.CV.CV,3,شهپري,N1,2,WWS
ʃæhd,CVCC,1,شهد,N1,45,S
ʃo.hæ.dɒ,CV.CV.CV,3,شهدا,N1,585,WWS
ʃo.hæ.dɒ,CV.CV.CV,3,شهداء,N1,43,WWS
ʃæhd.mæ.ɟæ.sɒn,CVCC.CV.CV.CVC,4,شهدمگسان,N1,1,WWWS
ʃæhr,CVCC,1,شهر,N1,9165,S
ʃæh.rɒ.ʃu.bi,CVC.CV.CV.CV,4,شهر‌‌آشوبي,N1,1,WWWS
ʃæh.rɒ.ʃub,CVC.CV.CVC,3,شهرآشوب,N1,1,WWS
ʃæh.re.bɒ.zi,CVC.CV.CV.CV,4,شهربازي,N1,9,WWWS
ʃæhr.bɒ.ni,CVCC.CV.CV,3,شهرباني,N1,60,WWS
ʃæhr.bæn.dɒn,CVCC.CVC.CVC,3,شهربندان,N1,1,WWS
ʃoh.ræt,CVC.CVC,2,شهرت,N1,570,WS
ʃoh.ræt.pæ.ræs.ti,CVC.CVC.CV.CVC.CV,5,شهرت‌‌پرستي,N1,1,WWWWS
ʃoh.ræt.tæ.læb,CVC.CVC.CV.CVC,4,شهرت‌‌طلب,A0,1,WWWS
